Algorithm,InputType,Size,Run,ExecutionTimeNs,MaxRecursionDepth,Comparisons
DeterministicSelect,Sorted,1000,7,25500,9,7792
MergeSort,ReverseSorted,1000,1,53200,7,10300
MergeSort,ReverseSorted,1000,2,48300,7,10300
MergeSort,ReverseSorted,1000,3,44500,7,10300
MergeSort,ReverseSorted,1000,4,46000,7,10300
MergeSort,ReverseSorted,1000,5,37900,7,10300
MergeSort,ReverseSorted,1000,6,45700,7,10300
MergeSort,ReverseSorted,1000,7,45400,7,10300
QuickSort,ReverseSorted,1000,1,73000,6,18564
QuickSort,ReverseSorted,1000,2,70400,6,18564
QuickSort,ReverseSorted,1000,3,86200,6,18564
QuickSort,ReverseSorted,1000,4,72200,6,18564
QuickSort,ReverseSorted,1000,5,67800,6,18564
QuickSort,ReverseSorted,1000,6,67500,6,18564
QuickSort,ReverseSorted,1000,7,67300,6,18564
DeterministicSelect,ReverseSorted,1000,1,29000,8,8843
DeterministicSelect,ReverseSorted,1000,2,37000,8,8843
DeterministicSelect,ReverseSorted,1000,3,28700,8,8843
DeterministicSelect,ReverseSorted,1000,4,27400,8,8843
DeterministicSelect,ReverseSorted,1000,5,35200,8,8843
DeterministicSelect,ReverseSorted,1000,6,28400,8,8843
DeterministicSelect,ReverseSorted,1000,7,34700,8,8843
MergeSort,Duplicates,1000,1,57000,7,9822
MergeSort,Duplicates,1000,2,52100,7,9822
MergeSort,Duplicates,1000,3,40800,7,9822
MergeSort,Duplicates,1000,4,63400,7,9822
MergeSort,Duplicates,1000,5,47400,7,9822
MergeSort,Duplicates,1000,6,47200,7,9822
MergeSort,Duplicates,1000,7,53300,7,9822
QuickSort,Duplicates,1000,1,19400,2,5133
QuickSort,Duplicates,1000,2,19700,2,5133
QuickSort,Duplicates,1000,3,17900,2,5133
QuickSort,Duplicates,1000,4,16400,2,5133
QuickSort,Duplicates,1000,5,16200,2,5133
QuickSort,Duplicates,1000,6,15900,2,5133
QuickSort,Duplicates,1000,7,15100,2,5133
DeterministicSelect,Duplicates,1000,1,17600,5,3696
DeterministicSelect,Duplicates,1000,2,16100,5,3696
DeterministicSelect,Duplicates,1000,3,24200,5,3696
DeterministicSelect,Duplicates,1000,4,15600,5,3696
DeterministicSelect,Duplicates,1000,5,15500,5,3696
DeterministicSelect,Duplicates,1000,6,15100,5,3696
DeterministicSelect,Duplicates,1000,7,15400,5,3696
ClosestPair,RandomPoints,1000,1,743700,10,1157
ClosestPair,RandomPoints,1000,2,657200,10,1157
ClosestPair,RandomPoints,1000,3,1161900,10,1157
ClosestPair,RandomPoints,1000,4,453300,10,1157
ClosestPair,RandomPoints,1000,5,1657400,10,1157
ClosestPair,RandomPoints,1000,6,2011900,10,1157
ClosestPair,RandomPoints,1000,7,1877800,10,1157
MergeSort,Random,5000,1,2022300,10,58351
MergeSort,Random,5000,2,1618300,10,58351
MergeSort,Random,5000,3,1332200,10,58351
MergeSort,Random,5000,4,1387100,10,58351
MergeSort,Random,5000,5,1528700,10,58351
MergeSort,Random,5000,6,1220900,10,58351
MergeSort,Random,5000,7,500400,10,58351
QuickSort,Random,5000,1,464300,8,109740
QuickSort,Random,5000,2,544800,8,109740
QuickSort,Random,5000,3,437300,8,109740
QuickSort,Random,5000,4,350600,8,109740
QuickSort,Random,5000,5,356300,8,109740
QuickSort,Random,5000,6,343800,8,109740
QuickSort,Random,5000,7,326600,8,109740
DeterministicSelect,Random,5000,1,144400,12,47286
